Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
Oriental Reed Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078,0.0,0.0,0.0
Clamorous Reed Warbler,0.0,0.0,0.0277778,0.04,0.0277778,0.0315789,0.0357143,0.0454545,0.0784314,0.0779221,0.0727273,0.0833333
Acrocephalus sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025974,0.0,0.0
Pallas's Grasshopper Warbler,0.0,0.0,0.0,0.0,0.0277778,0.0,0.0,0.0,0.0196078,0.025974,0.0181818,0.0138889
Lanceolated Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0196078,0.0,0.0015,0.0
Baikal Bush Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0392157,0.0519481,0.0,0.0
Spotted Bush Warbler,0.0,0.0,0.0,0.0,0.0138889,0.0,0.0,0.0015,0.0196078,0.025974,0.0,0.0
Baikal/Spotted Bush Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Locustella sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bristled Grassbird,0.0,0.0,0.0,0.0,0.0138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Striated Grassbird,0.025641,0.021978,0.0972222,0.1,0.1944444,0.1263158,0.1190476,0.0795455,0.1764706,0.1428571,0.0545455,0.125
Bradypterus sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012987,0.0,0.0
Pygmy Cupwing,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0
Gray-throated Martin,0.0,0.0,0.0138889,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0138889
Bank Swallow,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0727273,0.0
Barn Swallow,0.0769231,0.1318681,0.1944444,0.1,0.0555556,0.0210526,0.0357143,0.0681818,0.1764706,0.1558442,0.0727273,0.1111111
Asian House-Martin,0.0,0.0,0.0,0.0,0.0,0.0,0.0015,0.0,0.0,0.0,0.0,0.0
Eastern Red-rumped Swallow,0.1025641,0.2197802,0.0972222,0.04,0.0138889,0.0,0.0238095,0.0,0.0,0.0,0.0181818,0.0138889
Streak-throated Swallow,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
swallow sp.,0.0,0.0659341,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.012987,0.0181818,0.0
White-throated Bulbul,0.0512821,0.1098901,0.0555556,0.16,0.0416667,0.1263158,0.1309524,0.1022727,0.0784314,0.2337662,0.1818182,0.2361111
Cachar Bulbul,0.025641,0.010989,0.0555556,0.06,0.0,0.0421053,0.0357143,0.0681818,0.0392157,0.1038961,0.0545455,0.1388889
Ashy Bulbul,0.025641,0.0,0.0,0.04,0.0138889,0.0105263,0.0,0.0340909,0.0196078,0.038961,0.0363636,0.0277778
Black Bulbul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Black-headed Bulbul,0.025641,0.0879121,0.0555556,0.12,0.0138889,0.0842105,0.0595238,0.0454545,0.0784314,0.1298701,0.0363636,0.0416667
Black-crested Bulbul,0.1794872,0.1208791,0.0972222,0.12,0.0833333,0.1473684,0.1428571,0.1590909,0.1372549,0.2727273,0.2727273,0.2083333
Flavescent Bulbul,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Red-whiskered Bulbul,0.2307692,0.1868132,0.1805556,0.24,0.125,0.2526316,0.2619048,0.1704545,0.1960784,0.2987013,0.3272727,0.2361111
Red-vented Bulbul,0.6410256,0.6923077,0.5694444,0.58,0.5555556,0.5578947,0.6309524,0.6022727,0.4705882,0.5974026,0.5454545,0.5138889
Yellow-browed Warbler,0.1538462,0.2527473,0.2222222,0.1,0.1527778,0.1578947,0.1785714,0.3295455,0.1568627,0.4285714,0.4,0.4583333
Yellow-browed/Hume's Warbler,0.0,0.0,0.0277778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tickell's Leaf Warbler,0.025641,0.0,0.0138889,0.0,0.0,0.0,0.0,0.0340909,0.0,0.0519481,0.0181818,0.0277778
