Species,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
crow sp.,0.0,0.0,0.0063291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gray-headed Canary-Flycatcher,0.0,0.0,0.0063291,0.0135135,0.0517241,0.030303,0.011236,0.0362319,0.0,0.015625,0.0,0.009901
Asian Tit,0.09,0.120603,0.1772152,0.1216216,0.137931,0.040404,0.0898876,0.0362319,0.0705882,0.03125,0.0136986,0.0643564
Ashy-crowned Sparrow-Lark,0.01,0.0,0.0,0.0067568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bengal Bushlark,0.01,0.0703518,0.0506329,0.1283784,0.0948276,0.1616162,0.1460674,0.1811594,0.1764706,0.15625,0.0958904,0.1980198
Oriental Skylark,0.0,0.0201005,0.0379747,0.0540541,0.0344828,0.0606061,0.0786517,0.1086957,0.0941176,0.0625,0.0547945,0.0792079
Hume's Lark,0.0,0.0201005,0.0189873,0.027027,0.0431034,0.030303,0.0337079,0.0652174,0.0235294,0.015625,0.0547945,0.0544554
Mongolian Short-toed Lark,0.0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0,0.0,0.0,0.0,0.009901
Greater/Mongolian Short-toed Lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0144928,0.0,0.0,0.0,0.0
Hume's Lark/Mongolian Short-toed Lark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Calandrella sp.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sand Lark,0.01,0.0452261,0.0886076,0.1418919,0.1465517,0.1818182,0.1460674,0.1014493,0.1764706,0.140625,0.0958904,0.1435644
lark sp.,0.0,0.0050251,0.0,0.0202703,0.0086207,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0148515
Common Tailorbird,0.41,0.4221106,0.3607595,0.3310811,0.2758621,0.1919192,0.3483146,0.2753623,0.2941176,0.203125,0.2191781,0.3267327
Dark-necked Tailorbird,0.0,0.0050251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gray-breasted Prinia,0.0,0.0100503,0.0253165,0.0,0.0015,0.0,0.0,0.0072464,0.0,0.0,0.0,0.0
Delicate Prinia,0.0,0.0201005,0.0189873,0.0675676,0.0172414,0.040404,0.0224719,0.057971,0.0588235,0.0625,0.0410959,0.019802
Plain Prinia,0.09,0.1155779,0.1012658,0.1283784,0.112069,0.1010101,0.1573034,0.1956522,0.1647059,0.15625,0.1917808,0.1930693
Zitting Cisticola,0.03,0.0753769,0.0632911,0.1148649,0.0862069,0.0909091,0.1123596,0.1449275,0.0705882,0.078125,0.0958904,0.0891089
Thick-billed Warbler,0.0,0.0,0.0063291,0.0,0.0086207,0.0015,0.0,0.0144928,0.0,0.0,0.0,0.009901
Booted Warbler,0.0,0.0,0.0,0.0,0.0,0.010101,0.0,0.0072464,0.0117647,0.0,0.0273973,0.0594059
Black-browed Reed Warbler,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0049505
